player_id,display_name,dribbling_base,dribbling_sas,defending_base,defending_sas,passing_base,passing_sas,shooting_base,shooting_sas
dynamic_stones,J. Stones (Manchester B),74,74,78,78,76,76,51,51
dynamic_joão cancelo,João Cancelo (FC Barcelona),79,79,67,67,78,78,62,62
dynamic_mané,S. Mané (FC Barcelona),72,72,43,43,64,64,72,72
dynamic_j.m. giménez,J. Giménez (Madrid Rosas RB),60,60,77,77,64,64,48,48
dynamic_r. de paul,R. De Paul (Madrid Rosas RB),77,77,60,61,76,77,67,67
dynamic_b.fernandes,Bruno Fernandes (Manchester United FC),76,76,50,50,78,78,70,70
dynamic_mahrez,R. Mahrez (Manchester United FC),82,80,43,45,72,72,71,72
dynamic_grealish,J. Grealish (Manchester B),83,83,45,45,76,76,67,67
dynamic_g. jesus,G. Jesus (Arsenal FC),77,77,43,43,67,65,74,73
dynamic_lautaro,Lautaro Martínez (Internazionale Milano),73,73,48,50,64,65,77,77
dynamic_j.koundé,J. Koundé (FC Barcelona),69,69,79,79,72,72,50,50
dynamic_alexander arnold,T. Alexander-Arnold (Liverpool R),77,75,67,67,80,79,57,61
dynamic_e. militão,Éder Militão (Madrid Chamartin B),64,64,73,73,67,67,49,49
dynamic_chiesa,F. Chiesa (Piemonte BN),74,74,51,54,67,66,70,68
dynamic_upamecano,D. Upamecano (FC Bayern München),65,65,71,74,66,65,52,50
dynamic_luis díaz,L. Díaz (Liverpool R),77,79,40,43,60,62,69,70
dynamic_saliba,W. Saliba (Arsenal FC),67,67,77,80,69,69,50,52
dynamic_kvaratskhelia,K. Kvaratskhelia (SSC Napoli),78,79,50,52,69,70,71,72
dynamic_r. araujo,R. Araújo (FC Barcelona),63,61,74,76,65,65,51,52
dynamic_pedri,Pedri (FC Barcelona),82,82,62,62,80,80,62,62
dynamic_musiala,J. Musiala (FC Bayern München),81,81,57,57,79,79,69,69
dynamic_sergio ramos,Sergio Ramos (FC Bayern München),69,69,77,77,69,69,58,58
dynamic_canales,Sergio Canales (CF Monterrey),77,74,53,54,80,80,69,69
dynamic_müller,T. Müller (FC Bayern München),76,74,54,54,77,76,79,83
dynamic_koke,Koke (Madrid Rosas RB),77,77,67,67,80,80,60,60
dynamic_walker,K. Walker (Manchester B),69,71,67,70,71,73,56,57
dynamic_ben yedder,W. Ben Yedder (AS Monaco),76,76,49,51,69,68,78,80
dynamic_son,Son Heung-Min (Tottenham WB),72,73,41,43,66,67,76,76
dynamic_savić,S. Savić (Madrid Rosas RB),65,65,79,82,64,65,50,52
dynamic_iago aspas,Iago Aspas (Vigo AB),77,77,43,43,70,70,77,77
dynamic_rabiot,A. Rabiot (Piemonte BN),77,74,67,66,75,72,65,64
dynamic_zielinski,P. Zieliński (SSC Napoli),77,76,61,60,77,76,69,68
dynamic_carrasco,Y. Carrasco (Madrid Rosas RB),77,76,50,49,70,69,69,68
dynamic_gerard,Gerard Moreno (Villarreal A),77,77,46,46,73,73,79,79
dynamic_fekir,N. Fekir (Sevilla Triana VB),79,79,48,51,74,74,71,73
dynamic_coman,K. Coman (FC Bayern München),73,75,52,53,67,69,70,70
dynamic_brandt,J. Brandt (FC Bayern München),82,82,54,54,80,80,70,70
dynamic_fabinho,Fabinho (FC Bayern München),72,72,74,74,75,75,60,60
dynamic_robertson,A. Robertson (Liverpool R),70,70,68,70,68,69,50,52
dynamic_çalhanoğlu,H. Çalhanoğlu (Internazionale Milano),77,78,57,58,79,79,73,74
dynamic_sané,L. Sané (FC Bayern München),77,77,42,45,66,67,67,69
dynamic_m.llorente,Marcos Llorente (Madrid Rosas RB),74,74,65,65,75,75,67,67
dynamic_merino,Mikel Merino (Vasco Gipuzkoa AB),79,79,69,69,77,77,60,60
dynamic_barella,N. Barella (Internazionale Milano),73,73,69,72,74,74,63,65
dynamic_rüdiger,A. Rüdiger (Madrid Chamartin B),59,56,72,71,60,57,47,46
dynamic_hernández,L. Hernández (Paris Saint-Germain),65,65,70,73,69,69,56,58
dynamic_kessie,F. Kessié (Bilbao BR),72,74,70,71,73,75,64,64
dynamic_pellegrini,L. Pellegrini (AS Roma),75,77,63,66,77,79,68,69
dynamic_diogo j.,Diogo Jota (Liverpool R),75,75,43,43,65,65,73,73
dynamic_rice,D. Rice (Arsenal FC),70,70,74,74,75,76,55,55
dynamic_nkunku,C. Nkunku (Chelsea B),78,75,55,52,77,74,70,68
dynamic_sergej,S. Milinković-Savić (Chelsea B),81,81,60,63,74,75,70,72
dynamic_oyarzabal,Mikel Oyarzabal (Vasco Gipuzkoa AB),77,77,56,56,76,76,72,72
dynamic_o. dembélé,O. Dembélé (Paris Saint-Germain),76,73,43,44,73,73,67,71
dynamic_rashford,M. Rashford (Manchester United FC),72,73,40,41,64,64,71,70
dynamic_škriniar,M. Škriniar (Paris Saint-Germain),58,59,78,79,66,66,47,46
dynamic_theo,T. Hernández (AC Milan),71,71,67,67,67,67,65,65
dynamic_vlahović,D. Vlahović (Piemonte BN),70,70,41,44,60,59,78,76
dynamic_hakimi,A. Hakimi (Paris Saint-Germain),70,67,67,66,69,66,66,65
dynamic_foden,P. Foden (Manchester B),82,81,48,47,72,71,71,70
dynamic_pau,Pau Torres (Aston RB),70,70,77,77,69,69,54,54
dynamic_kolo muani,R. Kolo Muani (Paris Saint-Germain),76,74,51,53,72,72,74,75
dynamic_süle,N. Süle (Paris Saint-Germain),64,64,73,76,69,69,54,56
dynamic_rodrygo,Rodrygo (Madrid Chamartin B),75,75,43,43,67,67,74,74
dynamic_r. leão,Rafael Leão (AC Milan),74,74,40,40,62,62,70,70
dynamic_tchouameni,A. Tchouaméni (Madrid Chamartin B),77,74,72,71,77,74,58,57
dynamic_joão félix,João Félix (FC Barcelona),79,79,40,40,74,74,70,70
dynamic_gvardiol,J. Gvardiol (Manchester B),66,66,69,69,71,71,54,54
dynamic_martinelli,G. Martinelli (Arsenal FC),75,77,41,44,62,64,72,73
dynamic_pepe,Pepe (FC Porto),60,57,79,80,60,60,48,48
dynamic_silva,David Silva (FC Porto),84,84,53,55,82,81,67,66
dynamic_džeko,E. Džeko (Fenerbahçe SK),75,72,46,47,70,70,75,75
dynamic_kjaer,S. Kjær (AC Milan),63,63,79,79,69,69,54,54
dynamic_sergio,Sergio Busquets (Miami BP),79,79,75,75,82,82,58,58
dynamic_giroud,O. Giroud (AC Milan),74,71,43,44,70,70,75,79
dynamic_t.silva,Thiago Silva (Chelsea B),67,67,80,80,67,67,51,51
dynamic_lukaku,R. Lukaku (AS Roma),67,67,42,42,60,60,76,76
dynamic_smalling,C. Smalling (AS Roma),62,59,76,73,64,61,57,55
dynamic_jordi alba,Jordi Alba (Miami BP),76,78,64,66,74,76,64,66
dynamic_cuadrado,J. Cuadrado (Internazionale Milano),73,73,60,60,71,71,60,60
dynamic_de vrij,S. de Vrij (Internazionale Milano),64,64,79,81,67,68,54,54
dynamic_thiago,Thiago Alcântara (Liverpool R),83,83,60,60,83,83,63,63
dynamic_xhaka,G. Xhaka (Liverpool R),75,73,63,63,78,77,62,66
dynamic_nacho,Nacho (Madrid Chamartin B),70,70,75,75,69,69,54,54
dynamic_morata,Álvaro Morata (Madrid Rosas RB),71,71,48,48,66,66,72,72
dynamic_kovačić,M. Kovačić (Manchester B),82,83,62,63,80,80,56,55
dynamic_acerbi,F. Acerbi (Internazionale Milano),60,62,78,79,67,69,53,53
dynamic_pogba,P. Pogba (Piemonte BN),81,83,57,58,77,79,64,64
dynamic_i.martinez,Íñigo Martínez (FC Barcelona),65,65,75,75,68,68,55,55
dynamic_kostić,F. Kostić (Piemonte BN),70,72,56,57,71,73,62,62
dynamic_memphis,M. Depay (Madrid Rosas RB),76,77,42,43,74,74,74,73
dynamic_romagnoli,A. Romagnoli (SS Lazio),68,68,77,77,70,70,59,59
dynamic_brozović,M. Brozović (SS Lazio),76,77,68,69,78,78,65,64
dynamic_laporte,Aymeric Laporte (SS Lazio),65,65,77,77,67,67,50,50
dynamic_jorginho,Jorginho (Arsenal FC),79,79,72,72,82,82,59,59
dynamic_berardi,D. Berardi (Sassuolo NV),74,74,43,43,74,72,73,72
dynamic_højbjerg,P. Højbjerg (Tottenham WB),75,74,65,64,75,74,61,60
dynamic_aké,N. Aké (Manchester B),69,70,76,77,69,69,50,49
dynamic_a. correa,Á. Correa (Madrid Rosas RB),77,74,48,47,70,67,72,71
dynamic_goretzka,L. Goretzka (FC Bayern München),71,73,70,73,77,79,65,66
dynamic_gnabry,S. Gnabry (FC Bayern München),77,77,51,54,74,75,71,73
dynamic_de arrascaeta,G. de Arrascaeta (FC Bayern München),77,77,47,49,74,75,75,75
dynamic_ginter,M. Ginter (FC Bayern München),72,73,80,81,76,76,58,57
dynamic_otávio,Otávio (FC Bayern München),77,77,58,58,75,75,63,63
dynamic_trippier,K. Trippier (Newcastle WB),75,76,67,69,75,76,54,55
dynamic_spinazzola,L. Spinazzola (AS Roma),71,73,65,68,68,70,62,63
dynamic_grimaldo,Álex Grimaldo (AS Roma),75,75,63,63,72,72,59,59
dynamic_kanté,N. Kanté (Aston RB),72,73,79,80,72,72,59,58
dynamic_thomas,T. Partey (Arsenal FC),75,76,69,70,77,77,59,58
dynamic_schick,P. Schick (Arsenal FC),77,76,48,47,68,67,75,74
dynamic_koulibaly,K. Koulibaly (Arsenal FC),60,61,75,77,62,63,52,53
dynamic_kimpembe,P. Kimpembe (Paris Saint-Germain),68,67,75,74,71,70,49,48
dynamic_pavard,B. Pavard (Internazionale Milano),69,69,79,79,70,71,60,60
dynamic_yeray,Yeray (Bilbao BR),66,66,78,78,70,70,49,49
dynamic_f. mendy,F. Mendy (Madrid Chamartin B),68,70,70,71,67,69,53,53
dynamic_locatelli,M. Locatelli (Piemonte BN),75,76,69,70,77,77,64,63
dynamic_fabian,Fabián Ruiz (Paris Saint-Germain),77,78,63,64,76,76,69,68
dynamic_anguissa,F. Anguissa (SSC Napoli),74,76,69,70,73,75,60,60
dynamic_akanji,M. Akanji (Manchester B),64,65,74,75,67,67,52,51
dynamic_j. palhinha,João Palhinha (Fulham W),68,68,69,69,72,72,58,58
dynamic_raphinha,Raphinha (FC Barcelona),74,74,40,40,60,60,67,67
dynamic_gabriel,G. Magalhães (Arsenal FC),60,60,75,75,67,67,48,48
dynamic_romero,C. Romero (Tottenham WB),60,60,75,75,60,60,52,52
dynamic_tomori,F. Tomori (AC Milan),61,63,74,75,65,67,54,54
dynamic_zinchenko,O. Zinchenko (Arsenal FC),80,77,67,68,76,76,60,64
dynamic_maddison,J. Maddison (Tottenham WB),78,78,48,48,79,79,67,67
dynamic_bremer,Bremer (Piemonte BN),60,60,75,75,63,63,52,52
dynamic_bastoni,A. Bastoni (Internazionale Milano),71,71,75,78,72,73,55,57
dynamic_konaté,I. Konaté (Liverpool R),61,58,74,71,65,62,51,49
dynamic_ferran,Ferran Torres (FC Barcelona),73,73,42,42,67,67,69,69
dynamic_bruno g.,Bruno Guimarães (Newcastle WB),77,77,69,69,82,82,62,62
dynamic_tonali,S. Tonali (Newcastle WB),75,75,67,70,79,80,62,64
dynamic_koopmeiners,T. Koopmeiners (Atalanta BC),76,75,68,67,77,76,66,65
dynamic_gakpo,C. Gakpo (Liverpool R),75,72,51,48,66,63,73,71
dynamic_minjae,Kim Min-Jae (FC Bayern München),58,59,75,77,62,64,48,48
dynamic_kulusevski,D. Kulusevski (Tottenham WB),74,74,52,55,71,70,69,67
dynamic_botman,S. Botman (Newcastle WB),61,61,75,78,67,68,49,51
dynamic_james,R. James (Chelsea B),71,69,62,64,70,70,61,62
dynamic_camavinga,E. Camavinga (Madrid Chamartin B),79,76,67,68,77,77,58,58
dynamic_enzo,E. Fernández (Chelsea B),76,73,64,65,80,80,67,67
dynamic_davies,A. Davies (FC Bayern München),68,66,62,62,60,59,60,64
dynamic_ansu fati,Ansu Fati (Brighton WB),76,76,41,41,67,67,73,73
dynamic_darwin,D. Núñez (Liverpool R),67,67,43,46,60,59,74,73
dynamic_wirtz,F. Wirtz (Liverpool R),78,80,50,51,74,76,73,73
dynamic_schlotterbeck,N. Schlotterbeck (Liverpool R),63,63,73,76,64,64,53,55
dynamic_james,J. Rodríguez (Al Rayyan SC),81,79,44,46,80,80,70,71
dynamic_ibrahimović,Z. Ibrahimović (Al Rayyan SC),78,75,40,40,68,65,75,74
dynamic_r. albiol,Raúl Albiol (Villarreal A),64,64,80,80,67,67,53,53
dynamic_piqué,Piqué (Villarreal A),69,69,78,78,72,72,54,54
dynamic_chiellini,G. Chiellini (Los Angeles BY),57,57,80,80,60,58,52,51
dynamic_hulk,Hulk (Los Angeles BY),73,73,47,47,67,67,74,74
dynamic_bonucci,L. Bonucci (Los Angeles BY),72,74,77,80,71,73,57,57
dynamic_vertonghen,J. Vertonghen (Anderlecht PW),67,67,81,81,71,71,50,50
dynamic_bale,G. Bale (Anderlecht PW),73,73,41,41,69,67,73,72
dynamic_i.rakitić,I. Rakitić (Sevilla Nervión BR),78,77,63,62,80,79,69,68
dynamic_alexis,A. Sánchez (Internazionale Milano),78,75,46,45,70,67,70,69
dynamic_witsel,A. Witsel (Madrid Rosas RB),76,73,70,69,80,77,59,58
dynamic_perišić,I. Perišić (Tottenham WB),73,72,56,55,70,69,68,67
dynamic_alderweireld,T. Alderweireld (Antwerp RW),65,63,79,79,69,68,48,52
dynamic_mertens,D. Mertens (Galatasaray SK),80,80,46,49,73,72,75,73
dynamic_aubameyang,P. Aubameyang (Olympique de Marseille),71,70,43,42,63,62,75,74
dynamic_lacazette,A. Lacazette (Olympique Lyonnais),75,72,50,49,69,66,75,74
dynamic_muniain,Muniain (Bilbao BR),76,76,50,50,75,75,68,68
dynamic_eriksen,C. Eriksen (Manchester United FC),82,79,57,54,82,79,65,63
dynamic_s. coates,S. Coates (Sporting CP),68,68,74,77,65,66,58,60
dynamic_choupo-moting,E. Choupo-Moting (FC Bayern München),70,67,51,52,66,66,74,74
dynamic_isco,Isco (Sevilla Triana VB),84,84,48,48,77,77,64,64
dynamic_iličić,J. Iličić (Sevilla Triana VB),79,79,42,42,75,75,70,70
dynamic_danilo,Danilo Pereira (Paris Saint-Germain),68,68,75,75,70,70,55,55
dynamic_m. götze,M. Götze (Paris Saint-Germain),80,81,52,53,82,82,68,67
dynamic_kondogbia,G. Kondogbia (Olympique de Marseille),73,73,70,70,72,70,58,57
dynamic_danilo,Danilo (Piemonte BN),72,72,74,74,70,70,63,63
dynamic_andre,B. André (LOSC Lille),71,71,71,71,72,72,57,57
dynamic_f. anderson,Felipe Anderson (SS Lazio),74,74,43,43,69,69,69,69
dynamic_berghuis,S. Berghuis (AFC Ajax),76,76,49,52,74,75,70,72
dynamic_zouma,K. Zouma (West Ham RB),55,56,70,72,56,57,48,49
dynamic_sterling,R. Sterling (Chelsea B),73,73,40,43,69,68,69,67
dynamic_g. gómez,G. Gómez (Chelsea B),56,56,78,78,58,56,54,53
dynamic_insigne,L. Insigne (Toronto RW),82,80,49,51,71,71,68,69
dynamic_deulofeu,Deulofeu (Udine BN),79,79,44,44,72,72,70,70
dynamic_shaw,L. Shaw (Manchester United FC),70,72,68,71,72,74,51,52
dynamic_toloi,Rafael Tolói (Atalanta BC),66,66,76,76,68,68,54,54
dynamic_dier,E. Dier (Tottenham WB),65,62,74,75,67,67,52,52
dynamic_martial,A. Martial (Manchester United FC),78,75,40,40,63,60,73,72
dynamic_carvajal,Dani Carvajal (Madrid Chamartin B),74,74,68,68,73,73,55,55
dynamic_hinteregger,M. Hinteregger (Madrid Chamartin B),64,65,70,71,64,64,57,56
dynamic_zaha,W. Zaha (Galatasaray SK),72,72,40,43,63,60,67,70
dynamic_tielemans,Y. Tielemans (Aston RB),76,77,63,64,78,78,64,63
dynamic_mbemba,C. Mbemba (Olympique de Marseille),61,61,71,74,59,59,52,54
dynamic_guerreiro,Raphaël Guerreiro (FC Bayern München),79,79,62,62,81,81,73,73
dynamic_duván,D. Zapata (Torino G),68,68,44,47,63,62,75,73
dynamic_j.correa,J. Correa (Olympique de Marseille),79,79,48,48,68,68,69,69
dynamic_rafa,Rafa Silva (SL Benfica),77,77,53,53,72,72,70,70
dynamic_s.darder,Darder (Mallorca RN),76,76,60,60,77,77,62,62
dynamic_gayà,José Gayà (Valencia BN),74,74,67,67,74,74,56,56
dynamic_volland,K. Volland (Olympique de Marseille),71,72,48,50,71,72,73,74
dynamic_luis alberto,Luis Alberto (SS Lazio),82,82,52,52,82,82,69,69
dynamic_lemar,T. Lemar (Madrid Rosas RB),78,76,61,61,76,75,65,69
dynamic_forsberg,E. Forsberg (Arsenal FC),79,76,49,50,79,79,69,69
dynamic_williams,I. Williams (Bilbao BR),70,70,46,46,64,64,70,70
dynamic_sabitzer,M. Sabitzer (Bilbao BR),75,76,60,61,77,77,68,67
dynamic_wilson,C. Wilson (Newcastle WB),71,71,40,40,60,61,76,76
dynamic_diego carlos,Diego Carlos (Aston RB),62,63,74,74,67,67,50,50
dynamic_acuña,M. Acuña (Sevilla Nervión BR),75,75,65,65,69,70,60,60
dynamic_asensio,Marco Asensio (Paris Saint-Germain),77,74,42,40,69,66,71,69
dynamic_almirón,M. Almirón (Newcastle WB),73,74,48,49,60,60,70,69
dynamic_christensen,A. Christensen (FC Barcelona),66,68,75,76,70,72,50,50
dynamic_neves,Rúben Neves (FC Barcelona),77,77,68,68,80,78,65,64
dynamic_g. rodríguez,G. Rodríguez (Sevilla Triana VB),71,71,75,75,72,70,58,57
dynamic_s. amrabat,S. Amrabat (Manchester United FC),74,74,68,71,78,79,58,60
dynamic_kramarić,A. Kramarić (Manchester United FC),75,72,51,50,69,66,74,73
dynamic_firmino,Roberto Firmino (Manchester United FC),81,82,49,49,77,77,69,69
dynamic_bentancur,R. Bentancur (Tottenham WB),77,75,62,64,77,77,60,61
dynamic_mehdi,M. Taremi (FC Porto),75,75,42,42,63,63,74,74
dynamic_mancini,G. Mancini (AS Roma),63,61,74,74,60,59,55,59
dynamic_soares,Tiquinho Soares (Botafogo FR),74,74,52,52,56,56,75,75
dynamic_fofana,S. Fofana (Botafogo FR),72,69,64,63,73,70,65,64
dynamic_thuram,M. Thuram (Internazionale Milano),70,70,48,48,64,64,70,70
dynamic_buendia,E. Buendía (Aston RB),75,72,48,49,73,73,68,68
dynamic_zaccagni,M. Zaccagni (SS Lazio),77,78,50,51,70,70,68,67
dynamic_maguire,H. Maguire (Manchester United FC),61,61,74,74,63,64,49,49
dynamic_silva,André Silva (Vasco Gipuzkoa AB),71,71,46,48,64,63,72,71
dynamic_toney,I. Toney (Brentford RW),71,70,43,42,64,63,75,74
dynamic_villa,S. Villa (Brentford RW),70,72,42,45,64,66,65,66
dynamic_phillips,K. Phillips (Manchester B),73,70,70,69,74,71,57,56
dynamic_bennacer,I. Bennacer (AC Milan),77,76,68,67,77,76,60,59
dynamic_lookman,A. Lookman (Atalanta BC),75,72,44,43,68,65,71,70
dynamic_hofmann,J. Hofmann (Atalanta BC),73,73,62,62,74,74,70,70
dynamic_richarlison,Richarlison (Tottenham WB),76,76,43,43,62,62,70,70
dynamic_olmo,Dani Olmo (Tottenham WB),76,76,53,53,77,77,67,67
dynamic_molina,N. Molina (Madrid Rosas RB),70,70,64,64,70,71,60,60
dynamic_l. paquetá,Lucas Paquetá (West Ham RB),78,78,60,60,73,73,67,67
dynamic_isi,Isi Palazón (Vallecas BR),76,77,48,49,68,68,72,72
dynamic_dumfries,D. Dumfries (Internazionale Milano),64,64,62,65,65,64,59,57
dynamic_le normand,Robin Le Normand (Vasco Gipuzkoa AB),64,65,75,76,69,69,50,50
dynamic_pulisic,C. Pulišić (AC Milan),76,73,41,40,66,63,67,65
dynamic_h. lozano,H. Lozano (PSV Eindhoven),73,74,49,50,64,64,69,70
dynamic_milenković,N. Milenković (Firenze V),66,66,72,75,68,68,60,62
dynamic_abraham,T. Abraham (AS Roma),70,70,43,43,60,61,74,73
dynamic_white,B. White (Arsenal FC),73,73,74,74,75,75,49,49
dynamic_bowen,J. Bowen (West Ham RB),73,73,50,53,67,68,73,75
dynamic_havertz,K. Havertz (Arsenal FC),78,79,48,50,75,76,72,73
dynamic_frattesi,D. Frattesi (Internazionale Milano),76,76,62,65,74,73,66,64
dynamic_zaniolo,N. Zaniolo (Aston RB),79,79,53,56,73,73,66,68
dynamic_isak,A. Isak (Newcastle WB),76,73,44,43,60,57,72,71
dynamic_scamacca,G. Scamacca (Atalanta BC),73,73,44,44,60,58,74,73
dynamic_lobotka,S. Lobotka (SSC Napoli),80,80,69,72,79,80,61,63
dynamic_mac allister,A. Mac Allister (Liverpool R),75,76,60,62,76,77,70,71
dynamic_orban,W. Orbán (Liverpool R),60,62,79,82,66,68,58,59
dynamic_werner,T. Werner (Liverpool R),69,67,41,41,60,59,69,73
dynamic_di lorenzo,G. Di Lorenzo (SSC Napoli),67,68,68,70,71,72,61,61
dynamic_clauss,J. Clauss (Olympique de Marseille),70,70,62,62,69,69,62,62
dynamic_laimer,K. Laimer (FC Bayern München),70,71,71,73,73,74,64,65
dynamic_martínez,Lisandro Martínez (Manchester United FC),71,73,76,79,72,74,58,59
dynamic_ibañez,Ibañez (Manchester United FC),62,62,74,74,60,60,48,48
dynamic_souček,T. Souček (West Ham RB),70,72,68,69,72,74,60,60
dynamic_mount,M. Mount (Manchester United FC),77,78,50,52,74,75,69,68
dynamic_gouiri,A. Gouiri (Stade Rennais FC),76,73,50,49,69,66,73,72
dynamic_cunha,Matheus Cunha (Wolverhampton YB),74,74,42,42,71,71,71,71
dynamic_mazraoui,N. Mazraoui (FC Bayern München),73,73,68,71,74,74,62,64
dynamic_fofana,W. Fofana (Chelsea B),60,57,76,75,62,59,47,46
dynamic_diaby,M. Diaby (Aston RB),75,75,49,49,65,66,62,61
dynamic_raspadori,G. Raspadori (SSC Napoli),78,78,48,48,69,67,72,71
dynamic_schuurs,P. Schuurs (Torino G),66,65,76,75,69,68,56,55
dynamic_j.david,J. David (LOSC Lille),72,73,49,50,67,68,75,75
dynamic_j. alvarez,J. Álvarez (Manchester B),76,76,50,50,70,70,74,74
dynamic_fofana,Y. Fofana (AS Monaco),73,70,69,68,74,71,59,58
dynamic_demiral,M. Demiral (AS Monaco),58,59,71,72,62,62,54,53
dynamic_kamada,D. Kamada (SS Lazio),75,76,62,63,74,74,74,75
dynamic_chukwueze,S. Chukwueze (AC Milan),76,76,46,49,63,64,72,74
dynamic_dia,B. Dia (Salerno G),71,71,45,47,64,65,74,76
dynamic_zubimendi,Martín Zubimendi (Vasco Gipuzkoa AB),80,80,75,75,78,78,60,60
dynamic_szoboszlai,D. Szoboszlai (Liverpool R),79,79,50,53,75,74,70,68
dynamic_n.mendes,Nuno Mendes (Paris Saint-Germain),71,71,63,63,65,65,57,57
dynamic_g. ramos,Gonçalo Ramos (Paris Saint-Germain),71,71,48,48,65,65,74,74
dynamic_vitinha,Vitinha (Paris Saint-Germain),80,80,61,61,79,79,60,60
dynamic_x. simons,X. Simons (Paris Saint-Germain),75,75,50,50,73,73,74,74
dynamic_günter,C. Günter (Paris Saint-Germain),63,64,71,73,67,68,55,56
dynamic_füllkrug,N. Füllkrug (Paris Saint-Germain),68,68,49,52,59,59,78,80
dynamic_caicedo,M. Caicedo (Chelsea B),73,74,69,70,76,76,60,59
dynamic_aursnes,F. Aursnes (SL Benfica),71,73,67,68,76,78,59,59
dynamic_gavi,Gavi (FC Barcelona),78,78,56,56,77,77,63,63
dynamic_alderweireld,T. Alderweireld (Al Duhail SC),66,64,79,79,70,69,49,53
dynamic_sardar,S. Azmoun (Al Duhail SC),70,70,51,54,64,65,73,75
dynamic_j.moutinho,João Moutinho (Sporting Braga),78,78,65,65,78,78,65,65
dynamic_fonte,José Fonte (Sporting Braga),66,66,77,77,68,68,50,50
dynamic_arnautović,M. Arnautović (Internazionale Milano),74,75,43,44,68,68,72,71
dynamic_suárez,L. Suárez (Grêmio FBPA),74,74,42,42,63,63,80,80
dynamic_gignac,A. Gignac (Tigres UANL),74,71,42,41,66,63,75,74
dynamic_cavani,E. Cavani (CA Boca Juniors),71,68,50,51,63,63,76,76
dynamic_azpilicueta,César Azpilicueta (Madrid Rosas RB),71,71,75,75,73,73,55,55
dynamic_wijnaldum,G. Wijnaldum (Madrid Rosas RB),75,75,60,60,74,72,66,65
dynamic_fernando,Fernando (Sevilla Nervión BR),71,71,75,75,75,75,54,54
